original_file,decoded_file,shape,MAE,RMSE,max_abs_error,relative_error,similarity_percent
FFN1_01.csv,FFN1_01_decoded.csv,"(768, 3072)",0.2043286962339266,0.25541343403320427,1.1993996315,0.7443269241125854,25.56730758874146
FFN1_02.csv,FFN1_02_decoded.csv,"(768, 3072)",0.20436014258814436,0.2555008773805525,1.2117851228999998,0.7444246018378796,25.55753981621204
FFN2_01.csv,FFN2_01_decoded.csv,"(3072, 768)",0.20464250394219655,0.2557854164591446,1.2421431375999998,0.7451959576866338,25.480404231336617
FFN2_02.csv,FFN2_02_decoded.csv,"(3072, 768)",0.2046548967568786,0.25579386398850656,1.1599051499,0.7450518595897792,25.494814041022085
K_01.csv,K_01_decoded.csv,"(768, 768)",0.20465801708966128,0.2557583165543592,1.0922282487000001,0.7446550808512212,25.534491914877876
K_02.csv,K_02_decoded.csv,"(768, 768)",0.20473682181727584,0.2558482919090384,1.1360463503,0.7462075310188987,25.379246898110132
Q_01.csv,Q_01_decoded.csv,"(768, 768)",0.20467869900899688,0.25582297294389506,1.2004760118,0.7442759214055845,25.572407859441547
Q_02.csv,Q_02_decoded.csv,"(768, 768)",0.2039738070471197,0.2548515919195786,1.1426570853,0.7434685925346326,25.65314074653674
V_01.csv,V_01_decoded.csv,"(768, 768)",0.20365648426972194,0.2545557343360671,1.1110254925,0.7434138584884862,25.658614151151383
V_02.csv,V_02_decoded.csv,"(768, 768)",0.20460979677326924,0.25573206050032915,1.2184867465,0.7453345448573591,25.466545514264094
attention_output_01.csv,attention_output_01_decoded.csv,"(768, 768)",0.2042774670513617,0.2553592117197126,1.1531517561,0.7442472035662948,25.575279643370518
attention_output_02.csv,attention_output_02_decoded.csv,"(768, 768)",0.2044829299641857,0.2556414127694533,1.2287741149,0.7446690024951523,25.533099750484766
